date,time,action,option_code,option_name,option_type,direction,strike,expiry,price,premium_value,commission,pnl,reason,expiry_info
2026-03-03,13:15,卖出对冲,159915认260303150,创业板ETF认3月3150,认沽,short,3.15,2026-03-25,0.098751,987.51,5.0,0.0,连续2次浮盈8.0%→对冲,3月合约(剩16交易日)
2026-03-03,14:45,卖出平仓,159915认260303300,创业板ETF认3月3300,认沽,long,3.3,2026-03-25,0.200487,2004.87,5.0,379.14,14:45强平,3月合约(剩16交易日)
2026-03-03,14:45,买入平仓,159915认260303150,创业板ETF认3月3150,认沽,short,3.15,2026-03-25,0.116863,1168.63,5.0,-186.12,14:45强平,3月合约(剩16交易日)
2026-03-04,09:45,买入开仓,159915认260303150,创业板ETF认3月3150,认沽,long,3.15,2026-03-25,0.133107,1331.07,5.0,0.0,09:45确认↓-1.09%,3月合约(剩15交易日)
2026-03-04,14:45,卖出平仓,159915认260303150,创业板ETF认3月3150,认沽,long,3.15,2026-03-25,0.137522,1375.22,5.0,39.15,14:45强平,3月合约(剩15交易日)
2026-03-05,09:45,买入开仓,159915认260303200,创业板ETF认3月3200,认购,long,3.2,2026-03-25,0.166131,1661.31,5.0,0.0,09:45确认↑1.97%,3月合约(剩14交易日)
2026-03-05,14:45,卖出平仓,159915认260303200,创业板ETF认3月3200,认购,long,3.2,2026-03-25,0.159996,1599.96,5.0,-66.34,14:45强平,3月合约(剩14交易日)
2026-03-09,09:45,买入开仓,159915认260303150,创业板ETF认3月3150,认沽,long,3.15,2026-03-25,0.123083,1230.83,5.0,0.0,09:45确认↓-1.30%,3月合约(剩12交易日)
2026-03-09,13:00,反手平仓,159915认260303150,创业板ETF认3月3150,认沽,long,3.15,2026-03-25,0.097449,974.49,5.0,-261.34,偏离0.85%反手,3月合约(剩12交易日)
2026-03-09,13:00,反手开仓,159915认260303200,创业板ETF认3月3200,认购,long,3.2,2026-03-25,0.148353,1483.53,5.0,0.0,反手→认购,3月合约(剩12交易日)
2026-03-09,14:45,卖出平仓,159915认260303200,创业板ETF认3月3200,认购,long,3.2,2026-03-25,0.143441,1434.41,5.0,-54.12,14:45强平,3月合约(剩12交易日)
2026-03-10,09:45,买入开仓,159915认260303250,创业板ETF认3月3250,认购,long,3.25,2026-03-25,0.144715,1447.15,5.0,0.0,09:45确认↑2.06%,3月合约(剩11交易日)
2026-03-10,10:15,卖出对冲,159915认260303400,创业板ETF认3月3400,认购,short,3.4,2026-03-25,0.094481,944.81,5.0,0.0,连续2次浮盈8.4%→对冲,3月合约(剩11交易日)
2026-03-10,14:45,卖出平仓,159915认260303250,创业板ETF认3月3250,认购,long,3.25,2026-03-25,0.165904,1659.04,5.0,206.89,14:45强平,3月合约(剩11交易日)
2026-03-10,14:45,买入平仓,159915认260303400,创业板ETF认3月3400,认购,short,3.4,2026-03-25,0.100658,1006.58,5.0,-66.77,14:45强平,3月合约(剩11交易日)
2026-03-17,09:45,买入开仓,159915认260303350,创业板ETF认3月3350,认购,long,3.35,2026-03-25,0.121474,1214.74,5.0,0.0,09:45确认↑0.60%,3月合约(剩6交易日)
2026-03-17,11:00,反手平仓,159915认260303350,创业板ETF认3月3350,认购,long,3.35,2026-03-25,0.106585,1065.85,5.0,-153.88,偏离-0.94%反手,3月合约(剩6交易日)
2026-03-17,11:00,反手开仓,159915认260303350,创业板ETF认3月3350,认沽,long,3.35,2026-03-25,0.10616,1061.6,5.0,0.0,反手→认沽,3月合约(剩6交易日)
2026-03-17,13:30,卖出对冲,159915认260303200,创业板ETF认3月3200,认沽,short,3.2,2026-03-25,0.061905,619.05,5.0,0.0,连续2次浮盈31.8%→对冲,3月合约(剩6交易日)
2026-03-17,14:45,卖出平仓,159915认260303350,创业板ETF认3月3350,认沽,long,3.35,2026-03-25,0.141797,1417.97,5.0,351.37,14:45强平,3月合约(剩6交易日)
2026-03-17,14:45,买入平仓,159915认260303200,创业板ETF认3月3200,认沽,short,3.2,2026-03-25,0.062962,629.62,5.0,-15.57,14:45强平,3月合约(剩6交易日)
2026-03-18,09:45,买入开仓,159915认260403350,创业板ETF认4月3350,认购,long,3.35,2026-04-22,0.19932,1993.2,5.0,0.0,09:45确认↑0.61%,4月合约(剩8交易日)
2026-03-18,14:45,卖出平仓,159915认260403350,创业板ETF认4月3350,认购,long,3.35,2026-04-22,0.201462,2014.62,5.0,16.42,14:45强平,4月合约(剩8交易日)
2026-03-19,09:45,买入开仓,159915认260403300,创业板ETF认4月3300,认沽,long,3.3,2026-04-22,0.180484,1804.84,5.0,0.0,09:45确认↓-1.23%,4月合约(剩7交易日)
2026-03-19,14:45,卖出平仓,159915认260403300,创业板ETF认4月3300,认沽,long,3.3,2026-04-22,0.177256,1772.56,5.0,-37.28,14:45强平,4月合约(剩7交易日)
2026-03-20,09:45,买入开仓,159915认260403350,创业板ETF认4月3350,认购,long,3.35,2026-04-22,0.196461,1964.61,5.0,0.0,09:45确认↑1.03%,4月合约(剩6交易日)
2026-03-20,13:00,卖出对冲,159915认260403450,创业板ETF认4月3450,认购,short,3.45,2026-04-22,0.166322,1663.22,5.0,0.0,连续2次浮盈6.1%→对冲,4月合约(剩6交易日)
2026-03-20,14:45,卖出平仓,159915认260403350,创业板ETF认4月3350,认购,long,3.35,2026-04-22,0.19794,1979.4,5.0,9.79,14:45强平,4月合约(剩6交易日)
2026-03-20,14:45,买入平仓,159915认260403450,创业板ETF认4月3450,认购,short,3.45,2026-04-22,0.157318,1573.18,5.0,85.03,14:45强平,4月合约(剩6交易日)
2026-03-23,09:45,买入开仓,159915认260403250,创业板ETF认4月3250,认沽,long,3.25,2026-04-22,0.159083,1590.83,5.0,0.0,09:45确认↓-1.23%,4月合约(剩5交易日)
2026-03-23,13:30,卖出对冲,159915认260403150,创业板ETF认4月3150,认沽,short,3.15,2026-04-22,0.128941,1289.41,5.0,0.0,连续2次浮盈13.7%→对冲,4月合约(剩5交易日)
2026-03-23,14:45,卖出平仓,159915认260403250,创业板ETF认4月3250,认沽,long,3.25,2026-04-22,0.178074,1780.74,5.0,184.9,14:45强平,4月合约(剩5交易日)
2026-03-23,14:45,买入平仓,159915认260403150,创业板ETF认4月3150,认沽,short,3.15,2026-04-22,0.12659,1265.9,5.0,18.51,14:45强平,4月合约(剩5交易日)
2026-03-24,09:45,买入开仓,159915认260403300,创业板ETF认4月3300,认购,long,3.3,2026-04-22,0.178042,1780.42,5.0,0.0,09:45确认↑1.46%,4月合约(剩4交易日)
2026-03-24,10:15,反手平仓,159915认260403300,创业板ETF认4月3300,认购,long,3.3,2026-04-22,0.139072,1390.72,5.0,-394.7,偏离-2.54%反手,4月合约(剩4交易日)
2026-03-24,10:15,反手开仓,159915认260403200,创业板ETF认4月3200,认沽,long,3.2,2026-04-22,0.166709,1667.09,5.0,0.0,反手→认沽,4月合约(剩4交易日)
2026-03-24,14:45,卖出平仓,159915认260403200,创业板ETF认4月3200,认沽,long,3.2,2026-04-22,0.144674,1446.74,5.0,-225.34,14:45强平,4月合约(剩4交易日)
2026-03-25,09:45,买入开仓,159915认260403300,创业板ETF认4月3300,认购,long,3.3,2026-04-22,0.183578,1835.78,5.0,0.0,09:45确认↑1.30%,4月合约(剩3交易日)
2026-03-25,14:00,卖出对冲,159915认260403400,创业板ETF认4月3400,认购,short,3.4,2026-04-22,0.151542,1515.42,5.0,0.0,连续2次浮盈5.7%→对冲,4月合约(剩3交易日)
2026-03-25,14:45,卖出平仓,159915认260403300,创业板ETF认4月3300,认购,long,3.3,2026-04-22,0.189859,1898.59,5.0,57.81,14:45强平,4月合约(剩3交易日)
2026-03-25,14:45,买入平仓,159915认260403400,创业板ETF认4月3400,认购,short,3.4,2026-04-22,0.147954,1479.54,5.0,30.88,14:45强平,4月合约(剩3交易日)
2026-03-27,09:45,买入开仓,159915认260403250,创业板ETF认4月3250,认沽,long,3.25,2026-04-22,0.166645,1666.45,5.0,0.0,09:45确认↓-0.67%,4月合约(剩1交易日)
2026-03-27,10:30,反手平仓,159915认260403250,创业板ETF认4月3250,认沽,long,3.25,2026-04-22,0.145356,1453.56,5.0,-217.89,偏离1.08%反手,4月合约(剩1交易日)
2026-03-27,10:30,反手开仓,159915认260403300,创业板ETF认4月3300,认购,long,3.3,2026-04-22,0.169103,1691.03,5.0,0.0,反手→认购,4月合约(剩1交易日)
2026-03-27,14:45,卖出平仓,159915认260403300,创业板ETF认4月3300,认购,long,3.3,2026-04-22,0.177028,1770.28,5.0,74.25,14:45强平,4月合约(剩1交易日)
2026-03-30,09:45,买入开仓,159915认260403250,创业板ETF认4月3250,认沽,long,3.25,2026-04-22,0.153637,1536.37,5.0,0.0,09:45确认↓-1.55%,4月合约(剩0交易日)
2026-03-30,14:45,卖出平仓,159915认260403250,创业板ETF认4月3250,认沽,long,3.25,2026-04-22,0.142713,1427.13,5.0,-114.24,14:45强平,4月合约(剩0交易日)
